query_idx,anchor_idx,status,n_matches,n_inliers,n_overlapping,median_depth,x_error,y_error,z_error,pos_error,rot_error,distance_anchor_query,pointmap_error,pointmap_error_x,pointmap_error_y,pointmap_error_z,scale,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
22000,9900,OK,809,809,,3.6898239,4.298811635273669,0.04203872112196802,1.5438073222107698,4.5678101731299465,0.042756563611313456,7.84890936142661,4.220681403535972,1.0130850393137256,0.5138322542943606,4.09198570809347,1.533081,-38.01896820252023,-63.84035194678416,-3.4792193948364254,0.4868679464584014,-0.5253521644464492,0.5311825405478113,-0.45255918357711283
6800,1550,OK,1516,1516,,3.732907,0.05893821841402952,0.053957424009799915,1.2460276705993563,1.248587230871296,0.036012270671726396,3.5523591403180856,3.164881040615387,0.6715230952944707,0.42966617156300746,3.041892963570874,1.533081,-5.9090742252366155,-38.26381798680636,0.04658256252532714,0.1128227552219241,0.7221911058273937,-0.67814879929209,-0.07632325062938869
10150,8200,OK,796,796,,9.551649,4.512383473070841,0.06953373204198383,0.20415891215427617,4.517534771238243,0.005274881082356102,7.174663758235856,4.725278241070934,0.9299507876694715,0.5321997377160873,4.632598204048459,1.533081,-38.7791598019105,-61.81150992107294,-3.709537758836024,0.5310044062711309,-0.4616765756490055,0.49936462890302896,-0.5054938450843807
10200,8300,OK,823,823,,9.046556,2.426822129069938,0.08196466143415708,0.17831871106804256,2.43474463026095,0.01854435681596273,5.433974934143628,2.3822873777276428,0.6698625787819005,0.2991078485604648,2.2902388928422392,1.533081,-39.51737047536055,-57.71042563468519,-3.9439216711123666,-0.48602488612897377,0.5202847905868929,-0.5186121245057121,0.47341843126661487
20400,900,OK,1152,1152,,4.1138544,0.030053058183277248,0.0494593842642399,2.6002980536009916,2.60094201868459,0.03651936726665719,3.2210567130001126,4.854651565628149,1.0142129740509918,0.5535980839853928,4.552888269517634,1.533081,0.08821352362453824,-15.600412380101224,0.3636033928581614,0.12398462040189831,0.7193464128788576,-0.6791747052525444,-0.07674810699448407
23700,8300,OK,938,938,,6.377536,0.0617330798581526,0.08684081862808463,0.5632136453948693,0.5732032024402397,0.02559528308362468,1.2367474430169643,2.113344803557826,0.6090155215119128,0.26207258558423074,2.0260851969103353,1.533081,-38.876779717298824,-60.80866443591358,-3.8147304063561087,0.501897733573753,-0.49581222545438053,0.5308849918395446,-0.4694997631128597
20500,950,OK,887,887,,6.5423574,0.3102792239457792,0.11978244232762436,7.644826973436721,7.652058578192408,0.06776846015967757,5.4381008425355155,6.3890324199234225,1.5613241386549337,0.8239390985496946,6.063499157710147,1.533081,0.842075686466429,-15.075537347767868,0.17425351529510522,-0.16772400203108864,-0.6785939442147519,0.7089364561828109,0.09374443510256515
3450,40400,OK,1850,1850,,4.561754,0.7835673484809509,0.06465679595280414,0.4468078978131801,0.9043205119959314,0.0671498519593013,1.7885084891675627,5.091344531417162,1.3827789234149472,0.822566162346617,4.896288349163071,1.533081,-35.41890378726266,1.0635046428762314,-4.838688515989931,0.7140054248991664,0.06375498795928748,0.060499240821032266,-0.6946016099786629
21100,1800,OK,1527,1527,,6.9025717,0.29004107174596927,0.2588910412228435,1.735991947165161,1.7789930958683582,0.030477938876533734,3.772103186693073,3.297747659665384,0.8047184973569768,0.508064818505525,3.1263226526862837,1.533081,-12.850344734360485,-45.250938667566054,-0.7516753784725787,0.34894636498715725,0.6911421095741657,-0.5708456809014401,-0.2733024466260647
5450,41950,OK,1237,1237,,6.668141,0.1856658006761158,0.34178581436481215,3.3255811181406445,3.348250155794113,0.03337655502001891,2.4175948587658436,4.573575582759733,0.9352256467394865,0.6697366143028716,4.315018320094536,1.533081,-1.466511925403378,16.23200407429122,-0.8225666472390875,0.11179300058955773,0.7156724674652473,-0.6880116571730065,-0.04421768792509627
