anchor_idx,query_idx,num_matches,num_inliers,anchor_range
430,2244,1242,1204,"(0, 2244)"
2240,2244,1335,1176,"(0, 2244)"
440,2244,1238,1150,"(0, 2244)"
540,2264,1250,1147,"(0, 2244)"
550,2264,1200,1060,"(0, 2244)"
530,2264,1081,964,"(0, 2244)"
580,2284,1490,1451,"(0, 2244)"
590,2284,1162,1130,"(0, 2244)"
570,2284,1069,1021,"(0, 2244)"
610,2304,1564,1374,"(0, 2244)"
620,2304,1182,1101,"(0, 2244)"
600,2304,1057,1012,"(0, 2244)"
640,2324,1374,1317,"(0, 2244)"
650,2324,1299,1185,"(0, 2244)"
660,2324,1002,983,"(0, 2244)"
680,2344,1442,1401,"(0, 2244)"
670,2344,1255,1246,"(0, 2244)"
690,2344,1087,1072,"(0, 2244)"
700,2364,1270,1264,"(0, 2244)"
710,2364,1384,1253,"(0, 2244)"
690,2364,969,908,"(0, 2244)"
730,2384,1419,1286,"(0, 2244)"
740,2384,1211,1186,"(0, 2244)"
720,2384,973,915,"(0, 2244)"
760,2404,1620,1472,"(0, 2244)"
750,2404,1080,990,"(0, 2244)"
770,2404,1039,989,"(0, 2244)"
780,2424,1246,1224,"(0, 2244)"
790,2424,1273,1174,"(0, 2244)"
800,2424,860,846,"(0, 2244)"
810,2444,1756,1606,"(0, 2244)"
820,2444,1028,997,"(0, 2244)"
800,2444,1021,983,"(0, 2244)"
830,2464,1246,1102,"(0, 2244)"
840,2464,1242,1004,"(0, 2244)"
820,2464,945,868,"(0, 2244)"
860,2484,1326,1315,"(0, 2244)"
850,2484,1176,1169,"(0, 2244)"
870,2484,906,816,"(0, 2244)"
880,2504,1543,1376,"(0, 2244)"
870,2504,1118,1024,"(0, 2244)"
890,2504,1034,986,"(0, 2244)"
900,2524,1511,1473,"(0, 2244)"
910,2524,1191,1102,"(0, 2244)"
890,2524,1024,960,"(0, 2244)"
920,2544,1460,1450,"(0, 2244)"
930,2544,1322,1279,"(0, 2244)"
910,2544,972,895,"(0, 2244)"
950,2564,1561,1346,"(0, 2244)"
940,2564,1338,1188,"(0, 2244)"
960,2564,1077,971,"(0, 2244)"
970,2584,1708,1609,"(0, 2244)"
980,2584,1237,1227,"(0, 2244)"
960,2584,1162,1122,"(0, 2244)"
1000,2604,1590,1534,"(0, 2244)"
990,2604,1491,1347,"(0, 2244)"
980,2604,1078,979,"(0, 2244)"
1020,2624,1615,1469,"(0, 2244)"
1030,2624,1294,1173,"(0, 2244)"
1010,2624,1253,1159,"(0, 2244)"
1200,4210,132,70,"(0, 2244)"
930,4210,100,66,"(0, 2244)"
1210,4210,98,56,"(0, 2244)"
1120,4230,729,658,"(0, 2244)"
1110,4230,722,634,"(0, 2244)"
1130,4230,678,614,"(0, 2244)"
1130,4250,1441,1297,"(0, 2244)"
1120,4250,1223,1163,"(0, 2244)"
1140,4250,1099,978,"(0, 2244)"
1150,4270,1765,1697,"(0, 2244)"
1140,4270,1253,1236,"(0, 2244)"
1160,4270,1132,920,"(0, 2244)"
1170,4290,1662,1622,"(0, 2244)"
1180,4290,1245,1144,"(0, 2244)"
1160,4290,1136,932,"(0, 2244)"
1190,4310,1484,1352,"(0, 2244)"
1200,4310,1192,1098,"(0, 2244)"
