query_idx,anchor_idx,status,n_matches,n_inliers,n_overlapping,median_depth,x_error,y_error,z_error,pos_error,rot_error,distance_anchor_query,pointmap_error,pointmap_error_x,pointmap_error_y,pointmap_error_z,scale_x,scale_y,scale_z,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
14518,13200,OK,1131,1131,,12.604689161391127,0.014881669953898835,0.009998497019577578,0.2640811896174693,0.26468907939891484,0.009445552850906246,1.8433751270301753,0.9179788590649971,0.1477520941726267,0.08675304319628888,0.8940992328685446,0.9392664194864263,0.924628837661106,0.9165757423046784,162.639082355649,426.8483128882832,22.027316635202308,-0.6847171747762872,-0.015336155450129133,0.008150435172146942,0.7286019237614552
14598,13320,OK,955,955,,13.438886098435828,0.11515701574341164,0.07775928944074297,0.1610736350053683,0.21272602394418086,0.02053085700831186,3.229800415278273,1.8665992801950473,0.5589846181025395,0.23186209218915765,1.6816186136816578,1.392590954510967,1.2797264676776263,1.065622786550284,163.16916260628443,446.4280863622713,23.241659276108894,-0.6968441501956811,0.03915578788487213,-0.05397986417855726,0.7141156971222791
14558,13260,OK,1866,1866,,7.688516355037132,0.09357449135929893,0.028360661623318077,0.067266400502066,0.11868142734804045,0.014894261027881394,1.6524781151073662,0.6454450665236433,0.11639048638468474,0.06019373646388115,0.6186907690031545,0.9142030122974599,0.88000805364544,0.8913352106261364,162.53007520756748,437.7536481846021,22.674775306709208,-0.6845686431943896,-0.008053301669060948,-0.007080194525480643,0.7288695273728358
7425,2000,OK,1742,1742,,16.868595425786445,0.013008488786071248,0.013150111776062193,0.7527899763383545,0.7530171941567607,0.00366301794209959,3.3285316707785833,0.5609504400436387,0.19866401000527212,0.09659736429758858,0.4654248067835134,1.043230866232445,1.0219460935124205,1.0392247505808005,-10.685107610503707,86.94851063357386,2.6300088093944023,-0.022912689434291256,0.7161877651030463,-0.6975314155454068,-0.00013456155628813784
14678,13450,OK,1305,1305,,8.599157266761468,0.038528328927263295,0.16132072160598743,0.5581081525918609,0.5822314980649052,0.03184969378452626,0.9035160595762738,0.7098389559315532,0.0912166969497692,0.13566440303923866,0.6824408240587116,0.9995042764346073,1.1190846157082857,1.0343476667537341,173.70325236717272,450.34738052993276,23.541493536261278,-0.43312500599406767,0.5383697613083528,-0.5216164476782301,0.500476783480483
17584,11353,OK,999,999,,20.42860836828553,0.08772202611253654,0.027993928142593168,0.04747357138700292,0.10359803983849344,0.01935667754651596,1.4521399726409547,1.435759021270643,0.24522074231459645,0.14445228638379604,1.3845825662881337,1.189741877295174,1.1931944785204565,1.1039909540854602,160.71977540068534,114.06867420628555,7.7002141186824575,-0.6969205465898872,-0.022340344263281877,-0.015691070405772094,0.7166285307386052
2624,1020,OK,1595,1595,,17.811770005557467,0.1561473359882234,0.1749989588230477,0.23552325345846487,0.33238205283232447,0.01138994165404173,1.0956004737723393,0.8903628693228836,0.15251626290822956,0.06705373785146651,0.860372115509044,1.0864400440406352,1.0731285717534342,0.968052071822126,148.96735889752682,0.05049083251259778,0.8016466038979304,0.4735062806365447,-0.5156708455022317,0.5167433919667499,-0.4927998053524951
2304,630,OK,1545,1545,,13.546572717100895,0.0050678596055202495,0.13603444039711263,0.5604214174920603,0.5767176235896966,0.006282885126728741,4.224254759024906,0.5618088161313999,0.18950229248796135,0.1267825256347258,0.5018099566151035,0.9802615864880412,1.0143965983933356,1.0576342722950673,16.430510277877126,2.5201552025627243,-0.7237906313679029,-0.4964879990955553,0.49205758904125585,-0.49126811959034344,0.5196485644117246
17504,1310,OK,1734,1734,,9.358606575616147,0.02890143336970674,0.11295357354686653,0.31810209091915054,0.3387960195677725,0.010925466537804823,2.5426184182589324,0.37862806768816926,0.09015590350955305,0.049873154909039874,0.3406567528115767,0.9934388162204122,1.02562556611094,0.9998629330317891,160.20084751185175,72.12059388527997,5.204649328415289,-0.6788045588399383,-0.02943438819175722,-0.017281995707411953,0.73352526903595
18364,11953,OK,1657,1657,,16.83423376070497,0.11689935417053646,0.1663990963223809,1.1193969795611256,1.137718645409736,0.01047460246503087,0.13902126112455332,1.6667292023853428,0.16859435561648117,0.15015983821352585,1.6007611758355438,1.0345050225936925,1.1023172491143782,1.0929365556475608,162.37769597702044,271.68082232485216,13.15464959757879,-0.6905162767504135,-0.03532074938056421,0.010698210977587417,0.722374739652364
7885,900,OK,1680,1680,,19.292790894772473,0.19533567008463024,0.17014910631620692,1.1006723300166348,1.1307459133031892,0.024300302752689143,5.338302308204417,0.6424064362263631,0.1828818376028054,0.0860771989320428,0.5316708188354546,1.0471977125105443,0.9276021431250823,0.9911937665528944,103.80127818924814,2.4537233970817454,0.7178880795219706,-0.4838318131460902,0.5163640537008495,-0.4791400549508987,0.5193262446430402
