image_index,latitude,longitude,heading
0,41.90497985496242,12.516002831618762,-88.58234312219727
1,41.90497985796955,12.516002830478081,-88.58348893472233
2,41.904979859879894,12.516002822605108,-88.58371784354024
3,41.90497985397833,12.51600281976955,-88.58131182630024
4,41.90497985225038,12.516002824941353,-88.58062439282665
5,41.90497985494763,12.516002826267913,-88.58085345916464
6,41.90497985841136,12.516002829035475,-88.58096791188603
7,41.90497985070727,12.516002834040709,-88.58234303513382
8,41.90497984733475,12.516002830378842,-88.58417654387524
9,41.90497984751012,12.516002839962797,-88.58589550113828
10,41.90497985409103,12.516002832775879,-88.58532251137247
11,41.90497984789385,12.516002831177863,-88.5836036238965
12,41.90497985505543,12.516002830541549,-88.58096807520839
13,41.904979855516416,12.51600282912184,-88.5815409605979
14,41.904979857167056,12.516002826327364,-88.58268679413722
15,41.90497985361164,12.516002832603553,-88.58463519244117
16,41.904979851080874,12.516002829537918,-88.58280147070434
17,41.904979854425264,12.516002836352083,-88.5833744143015
18,41.9049798534962,12.516002833122679,-88.58131181369893
19,41.904979856230256,12.51600282970303,-88.58440568587059
20,41.904979862226504,12.516002828554493,-88.5823432154805
21,41.904979859981395,12.516002831026768,-88.58154107737792
22,41.90497985264755,12.516002820570687,-88.58142645423113
23,41.90497985655414,12.516002828037662,-88.581656172624
24,41.90497985056225,12.516002826120886,-88.58108201529835
25,41.90497985640886,12.516002823961406,-88.57924989312217
26,41.90497985743907,12.51600283084462,-88.5807388759124
27,41.904979858437194,12.516002831490502,-88.58211394402312
28,41.90497985605168,12.516002830007773,-88.58257242267283
29,41.90497985026296,12.5160028361039,-88.5844056323705
30,41.90497985847079,12.516002834820723,-88.5816563043557
31,41.90497985644357,12.516002830490468,-88.58016607850412
32,41.90497986358912,12.516002815405662,-88.58177091441242
33,41.904979870225425,12.516002830898758,-88.57844790300264
34,41.90497985096573,12.51600282440122,-88.58280140461353
35,41.904979855567255,12.516002824046236,-88.58555206993869
36,41.904979853572264,12.516002829808883,-88.58291595503046
37,41.904979862198886,12.516002829906567,-88.57879105477639
38,41.9049798558952,12.51600283290163,-88.580395074617
39,41.904979851405194,12.516002832640496,-88.58211384252704
40,41.90497985265771,12.516002832380202,-88.58532267889775
41,41.904979854602225,12.516002824224985,-88.58050946207156
42,41.90497985767373,12.516002816305122,-88.57947901160028
43,41.904979856223015,12.516002820459613,-88.57993689699548
44,41.90497985545362,12.51600281350907,-88.58222903922012
45,41.90497985623636,12.51600282532384,-88.58474998218318
46,41.90497984659954,12.516002822014798,-88.58303030068167
47,41.90497985909892,12.516002820350272,-88.5821140442601
48,41.90497985454231,12.516002829301282,-88.58360332282597
49,41.90497984960164,12.516002827089988,-88.58520823560002
50,41.90497984689547,12.516002833925446,-88.5875000551105
51,41.90497985423622,12.516002819629348,-88.58738521012175
52,41.90497985831165,12.516002810688638,-88.58646865661912
53,41.904979854379825,12.516002817320258,-88.58314592202686
54,41.904979855116245,12.516002818690419,-88.58646989823872
55,41.90497985591472,12.516002822744069,-88.5918554836813
56,41.904979841406806,12.516002817595757,-88.5918563682189
57,41.90497983908534,12.51600280366562,-88.59300386182493
58,41.90497982659921,12.516002814950122,-88.59380691104532
59,41.90497981798672,12.516002796400258,-88.59060267193107
60,41.904979816457306,12.516002781148252,-88.59129419320831
61,41.90497978760218,12.516002778040306,-88.59599317954282
62,41.90497976639885,12.516002766586007,-88.59405726154075
63,41.90497973866876,12.516002757765957,-88.58992928388176
64,41.904979715738264,12.516002769180572,-88.5829486896876
65,41.90497966995775,12.516002755929126,-88.57539415354147
66,41.904979624094736,12.516002779366648,-88.56199365238729
67,41.90497956246444,12.5160027610267,-88.54391486592704
68,41.90497950298374,12.516002753490799,-88.52281807870017
69,41.90497941777602,12.516002776216748,-88.50039302824268
70,41.90497933703248,12.51600279875541,-88.46854848116062
71,41.90497923597116,12.516002787311454,-88.42510839897704
