anchor_idx,query_idx,num_matches,num_inliers,anchor_range
4680,1500,181,107,"(4100, 5000)"
4730,1500,282,106,"(4100, 5000)"
4720,1500,137,74,"(4100, 5000)"
4670,1500,169,68,"(4100, 5000)"
4710,1500,120,68,"(4100, 5000)"
4660,1500,105,66,"(4100, 5000)"
4690,1500,84,60,"(4100, 5000)"
4740,1500,115,58,"(4100, 5000)"
4240,1500,147,55,"(4100, 5000)"
4220,1500,129,50,"(4100, 5000)"
4680,1520,793,775,"(4100, 5000)"
4670,1520,770,682,"(4100, 5000)"
4690,1520,691,634,"(4100, 5000)"
4700,1520,592,500,"(4100, 5000)"
4660,1520,526,472,"(4100, 5000)"
4710,1520,520,458,"(4100, 5000)"
4720,1520,436,371,"(4100, 5000)"
4730,1520,369,308,"(4100, 5000)"
4750,1520,318,289,"(4100, 5000)"
4740,1520,322,284,"(4100, 5000)"
4690,1540,1366,1341,"(4100, 5000)"
4680,1540,1392,1219,"(4100, 5000)"
4670,1540,1071,1050,"(4100, 5000)"
4700,1540,1065,973,"(4100, 5000)"
4710,1540,873,845,"(4100, 5000)"
4720,1540,720,710,"(4100, 5000)"
4660,1540,740,698,"(4100, 5000)"
4730,1540,627,601,"(4100, 5000)"
4740,1540,535,477,"(4100, 5000)"
4750,1540,494,432,"(4100, 5000)"
4700,1560,1661,1627,"(4100, 5000)"
4710,1560,1590,1439,"(4100, 5000)"
4690,1560,1247,1202,"(4100, 5000)"
4720,1560,1113,1095,"(4100, 5000)"
4680,1560,1017,876,"(4100, 5000)"
4670,1560,887,774,"(4100, 5000)"
4730,1560,854,758,"(4100, 5000)"
4740,1560,761,695,"(4100, 5000)"
4660,1560,712,635,"(4100, 5000)"
4750,1560,640,560,"(4100, 5000)"
4720,1580,1618,1617,"(4100, 5000)"
4730,1580,1537,1532,"(4100, 5000)"
4740,1580,1113,1076,"(4100, 5000)"
4710,1580,1183,1074,"(4100, 5000)"
4700,1580,956,832,"(4100, 5000)"
4750,1580,917,742,"(4100, 5000)"
4690,1580,807,706,"(4100, 5000)"
4680,1580,715,683,"(4100, 5000)"
4760,1580,758,614,"(4100, 5000)"
4670,1580,649,576,"(4100, 5000)"
4750,1600,1639,1532,"(4100, 5000)"
4740,1600,1463,1441,"(4100, 5000)"
4760,1600,1171,1134,"(4100, 5000)"
4730,1600,1113,936,"(4100, 5000)"
4770,1600,877,828,"(4100, 5000)"
4720,1600,880,738,"(4100, 5000)"
4780,1600,787,718,"(4100, 5000)"
4710,1600,744,660,"(4100, 5000)"
4790,1600,678,577,"(4100, 5000)"
4690,1600,624,550,"(4100, 5000)"
4770,1620,1638,1626,"(4100, 5000)"
4760,1620,1448,1252,"(4100, 5000)"
4780,1620,1168,1115,"(4100, 5000)"
4750,1620,1087,947,"(4100, 5000)"
4790,1620,938,828,"(4100, 5000)"
4740,1620,920,817,"(4100, 5000)"
4800,1620,828,713,"(4100, 5000)"
4730,1620,735,651,"(4100, 5000)"
4720,1620,692,619,"(4100, 5000)"
4820,1620,649,606,"(4100, 5000)"
4790,1640,1615,1434,"(4100, 5000)"
4780,1640,1403,1166,"(4100, 5000)"
4800,1640,1193,1127,"(4100, 5000)"
4810,1640,971,953,"(4100, 5000)"
4770,1640,1056,946,"(4100, 5000)"
4760,1640,887,821,"(4100, 5000)"
4820,1640,893,786,"(4100, 5000)"
4750,1640,735,678,"(4100, 5000)"
4830,1640,672,656,"(4100, 5000)"
4740,1640,635,555,"(4100, 5000)"
4800,1660,1555,1516,"(4100, 5000)"
4810,1660,1642,1449,"(4100, 5000)"
4820,1660,1305,1201,"(4100, 5000)"
4790,1660,1166,1129,"(4100, 5000)"
4830,1660,990,921,"(4100, 5000)"
4780,1660,910,838,"(4100, 5000)"
4840,1660,858,836,"(4100, 5000)"
4770,1660,809,705,"(4100, 5000)"
4850,1660,700,596,"(4100, 5000)"
4760,1660,656,526,"(4100, 5000)"
4820,1680,1736,1536,"(4100, 5000)"
4830,1680,1542,1419,"(4100, 5000)"
4810,1680,1357,1333,"(4100, 5000)"
4840,1680,1226,1210,"(4100, 5000)"
4800,1680,1108,1036,"(4100, 5000)"
4790,1680,908,806,"(4100, 5000)"
4850,1680,933,772,"(4100, 5000)"
4780,1680,750,686,"(4100, 5000)"
4860,1680,689,611,"(4100, 5000)"
4770,1680,669,549,"(4100, 5000)"
4840,1700,1900,1653,"(4100, 5000)"
4850,1700,1428,1213,"(4100, 5000)"
4830,1700,1332,1098,"(4100, 5000)"
4820,1700,1085,957,"(4100, 5000)"
4860,1700,1023,950,"(4100, 5000)"
4810,1700,905,812,"(4100, 5000)"
4800,1700,768,711,"(4100, 5000)"
4870,1700,687,563,"(4100, 5000)"
4790,1700,655,544,"(4100, 5000)"
4780,1700,551,504,"(4100, 5000)"
4860,1720,1756,1744,"(4100, 5000)"
4850,1720,1434,1411,"(4100, 5000)"
4870,1720,1112,1087,"(4100, 5000)"
4840,1720,1074,1052,"(4100, 5000)"
4830,1720,823,739,"(4100, 5000)"
4880,1720,788,654,"(4100, 5000)"
4820,1720,705,570,"(4100, 5000)"
4800,1720,561,526,"(4100, 5000)"
4810,1720,613,518,"(4100, 5000)"
4790,1720,514,445,"(4100, 5000)"
4880,1740,1661,1646,"(4100, 5000)"
4870,1740,1438,1355,"(4100, 5000)"
4890,1740,1233,1168,"(4100, 5000)"
4860,1740,1039,1019,"(4100, 5000)"
4900,1740,769,631,"(4100, 5000)"
4850,1740,716,625,"(4100, 5000)"
4910,1740,483,425,"(4100, 5000)"
4840,1740,461,382,"(4100, 5000)"
4830,1740,411,349,"(4100, 5000)"
4820,1740,326,274,"(4100, 5000)"
4890,1760,1477,1460,"(4100, 5000)"
4900,1760,1497,1364,"(4100, 5000)"
4880,1760,1045,904,"(4100, 5000)"
4910,1760,1013,904,"(4100, 5000)"
